block,part,comparison,metric,mean,ci_low,ci_high,pairs,wins,ties,losses
heldout_36M_corrected,B_generated,predictive_minus_deployment,acoustic_fixes,0.5225,0.1975,0.8575,400,151,98,151
heldout_36M_corrected,B_generated,predictive_minus_deployment,completed,0.01,-0.035,0.0575,400,41,314,45
heldout_36M_corrected,B_generated,predictive_minus_deployment,longest_unaided_gap_s,-4.215,-6.91,-1.5648750000000018,400,195,73,132
heldout_36M_corrected,B_generated,predictive_minus_deployment,mode_switches,8.735,8.3975,9.065,400,0,0,400
heldout_36M_corrected,B_generated,predictive_minus_deployment,optical_fixes,1.2275,0.865,1.6125,400,57,139,204
heldout_36M_corrected,B_generated,predictive_minus_deployment,overall_rmse_m,-0.3704407574354156,-0.5520895786718021,-0.19441605011905755,400,218,0,182
heldout_36M_corrected,B_generated,predictive_minus_deployment,peak_error_m,-0.8067659933143981,-1.1959497915624417,-0.4190017543105835,400,229,0,171
heldout_36M_corrected,B_generated,predictive_minus_deployment,physical_interventions,6.92,6.645,7.2,400,0,0,400
heldout_36M_corrected,B_generated,predictive_minus_deployment,preemptive_actions,0.5225,0.475,0.5725,400,0,191,209
heldout_36M_corrected,B_generated,predictive_minus_deployment,rmse_transition_m,-0.3611297696459732,-0.552406756999995,-0.1768397630188737,400,214,0,186
heldout_36M_corrected,B_generated,predictive_minus_deployment,safety_violation,-0.06,-0.105,-0.015,400,55,314,31
heldout_36M_corrected,B_generated,predictive_minus_deployment,survey_coverage_fraction,-0.006438859494415061,-0.024829671271800916,0.013191480501665657,400,131,208,61
heldout_36M_corrected,B_generated,predictive_minus_deployment,unaided_time_s,2.075,-1.02,5.140124999999998,400,204,40,156
heldout_36M_corrected,B_generated,predictive_minus_reactive,acoustic_fixes,0.3975,0.185,0.62,400,26,307,67
heldout_36M_corrected,B_generated,predictive_minus_reactive,completed,-0.005,-0.0475,0.0375,400,39,324,37
heldout_36M_corrected,B_generated,predictive_minus_reactive,longest_unaided_gap_s,2.055,0.46,3.715,400,76,219,105
heldout_36M_corrected,B_generated,predictive_minus_reactive,mode_switches,0.42,0.21,0.64,400,66,221,113
heldout_36M_corrected,B_generated,predictive_minus_reactive,optical_fixes,0.7925,0.535,1.06,400,66,134,200
heldout_36M_corrected,B_generated,predictive_minus_reactive,overall_rmse_m,0.055790843421155124,-0.03516632493969999,0.1491265715379484,400,192,4,204
heldout_36M_corrected,B_generated,predictive_minus_reactive,peak_error_m,0.07925434722786162,-0.1215297520520326,0.2804932796578158,400,189,4,207
heldout_36M_corrected,B_generated,predictive_minus_reactive,physical_interventions,1.0575,0.825,1.305,400,107,53,240
heldout_36M_corrected,B_generated,predictive_minus_reactive,preemptive_actions,0.5225,0.4725,0.5725,400,0,191,209
heldout_36M_corrected,B_generated,predictive_minus_reactive,rmse_transition_m,0.07935811605418189,-0.013501972743251376,0.17524042630388417,400,173,4,223
heldout_36M_corrected,B_generated,predictive_minus_reactive,safety_violation,0.0225,-0.01,0.055,400,17,357,26
heldout_36M_corrected,B_generated,predictive_minus_reactive,survey_coverage_fraction,0.025130315500685868,0.008334153929061328,0.042818868802665076,400,98,209,93
heldout_36M_corrected,B_generated,predictive_minus_reactive,unaided_time_s,4.515,1.9,7.1851249999999975,400,173,87,140
heldout_36M_corrected,B_generated,reactive_minus_deployment,acoustic_fixes,0.125,-0.1725,0.4325,400,160,116,124
heldout_36M_corrected,B_generated,reactive_minus_deployment,completed,0.015,-0.0225,0.0525,400,27,340,33
heldout_36M_corrected,B_generated,reactive_minus_deployment,longest_unaided_gap_s,-6.27,-8.88,-3.75,400,208,90,102
heldout_36M_corrected,B_generated,reactive_minus_deployment,mode_switches,8.315,7.9725,8.6625,400,0,0,400
heldout_36M_corrected,B_generated,reactive_minus_deployment,optical_fixes,0.435,0.1175,0.76,400,80,208,112
heldout_36M_corrected,B_generated,reactive_minus_deployment,overall_rmse_m,-0.42623160085657075,-0.6052422003092364,-0.2608246917540152,400,232,0,168
heldout_36M_corrected,B_generated,reactive_minus_deployment,peak_error_m,-0.8860203405422599,-1.2768202864844684,-0.5137766844656385,400,227,0,173
heldout_36M_corrected,B_generated,reactive_minus_deployment,physical_interventions,5.8625,5.6025,6.1225,400,0,0,400
heldout_36M_corrected,B_generated,reactive_minus_deployment,preemptive_actions,0.0,0.0,0.0,400,0,400,0
heldout_36M_corrected,B_generated,reactive_minus_deployment,rmse_transition_m,-0.4404878857001552,-0.6231168235201435,-0.2632130315921647,400,232,0,168
heldout_36M_corrected,B_generated,reactive_minus_deployment,safety_violation,-0.0825,-0.1225,-0.045,400,51,331,18
heldout_36M_corrected,B_generated,reactive_minus_deployment,survey_coverage_fraction,-0.03156917499510093,-0.047591453556731333,-0.015065304722712145,400,153,209,38
heldout_36M_corrected,B_generated,reactive_minus_deployment,unaided_time_s,-2.44,-5.135,0.24024999999999636,400,221,48,131
heldout_36M_corrected,A_scripted,predictive_minus_deployment,acoustic_fixes,-0.8074074074074075,-1.0222222222222221,-0.6074074074074074,270,68,196,6
heldout_36M_corrected,A_scripted,predictive_minus_deployment,completed,0.0,0.0,0.0,270,0,270,0
heldout_36M_corrected,A_scripted,predictive_minus_deployment,longest_unaided_gap_s,0.1111111111111111,-0.5407407407407407,0.7407407407407407,270,38,191,41
heldout_36M_corrected,A_scripted,predictive_minus_deployment,mode_switches,5.955555555555556,5.5814814814814815,6.325925925925926,270,0,0,270
heldout_36M_corrected,A_scripted,predictive_minus_deployment,optical_fixes,0.05555555555555555,-0.025925925925925925,0.16296296296296298,270,23,218,29
