block,part,policy,metric,mean
heldout_36M_corrected,B_generated,deployment_fixed,acoustic_fixes,6.47
heldout_36M_corrected,B_generated,reactive,acoustic_fixes,6.595
heldout_36M_corrected,B_generated,predictive,acoustic_fixes,6.9925
heldout_36M_corrected,B_generated,deployment_fixed,completed,0.4175
heldout_36M_corrected,B_generated,reactive,completed,0.4325
heldout_36M_corrected,B_generated,predictive,completed,0.4275
heldout_36M_corrected,B_generated,deployment_fixed,longest_unaided_gap_s,46.98
heldout_36M_corrected,B_generated,reactive,longest_unaided_gap_s,40.71
heldout_36M_corrected,B_generated,predictive,longest_unaided_gap_s,42.765
heldout_36M_corrected,B_generated,deployment_fixed,mode_switches,0.0
heldout_36M_corrected,B_generated,reactive,mode_switches,8.315
heldout_36M_corrected,B_generated,predictive,mode_switches,8.735
heldout_36M_corrected,B_generated,deployment_fixed,optical_fixes,10.0475
heldout_36M_corrected,B_generated,reactive,optical_fixes,10.4825
heldout_36M_corrected,B_generated,predictive,optical_fixes,11.275
heldout_36M_corrected,B_generated,deployment_fixed,overall_rmse_m,2.3507599245843114
heldout_36M_corrected,B_generated,reactive,overall_rmse_m,1.9245283237277406
heldout_36M_corrected,B_generated,predictive,overall_rmse_m,1.9803191671488958
heldout_36M_corrected,B_generated,deployment_fixed,peak_error_m,5.744414412489491
heldout_36M_corrected,B_generated,reactive,peak_error_m,4.858394071947231
heldout_36M_corrected,B_generated,predictive,peak_error_m,4.937648419175092
heldout_36M_corrected,B_generated,deployment_fixed,physical_interventions,0.5825
heldout_36M_corrected,B_generated,reactive,physical_interventions,6.445
heldout_36M_corrected,B_generated,predictive,physical_interventions,7.5025
heldout_36M_corrected,B_generated,deployment_fixed,preemptive_actions,0.0
heldout_36M_corrected,B_generated,reactive,preemptive_actions,0.0
heldout_36M_corrected,B_generated,predictive,preemptive_actions,0.5225
heldout_36M_corrected,B_generated,deployment_fixed,rmse_transition_m,2.440919683452198
heldout_36M_corrected,B_generated,reactive,rmse_transition_m,2.0004317977520434
heldout_36M_corrected,B_generated,predictive,rmse_transition_m,2.0797899138062252
heldout_36M_corrected,B_generated,deployment_fixed,safety_violation,0.2325
heldout_36M_corrected,B_generated,reactive,safety_violation,0.15
heldout_36M_corrected,B_generated,predictive,safety_violation,0.1725
heldout_36M_corrected,B_generated,deployment_fixed,survey_coverage_fraction,0.8478444052518127
heldout_36M_corrected,B_generated,reactive,survey_coverage_fraction,0.8162752302567117
heldout_36M_corrected,B_generated,predictive,survey_coverage_fraction,0.8414055457573976
heldout_36M_corrected,B_generated,deployment_fixed,unaided_time_s,78.3
heldout_36M_corrected,B_generated,reactive,unaided_time_s,75.86
heldout_36M_corrected,B_generated,predictive,unaided_time_s,80.375
heldout_36M_corrected,A_scripted,deployment_fixed,acoustic_fixes,17.996296296296297
heldout_36M_corrected,A_scripted,reactive,acoustic_fixes,17.18888888888889
heldout_36M_corrected,A_scripted,predictive,acoustic_fixes,17.18888888888889
heldout_36M_corrected,A_scripted,deployment_fixed,completed,0.8518518518518519
heldout_36M_corrected,A_scripted,reactive,completed,0.8518518518518519
heldout_36M_corrected,A_scripted,predictive,completed,0.8518518518518519
heldout_36M_corrected,A_scripted,deployment_fixed,longest_unaided_gap_s,46.666666666666664
heldout_36M_corrected,A_scripted,reactive,longest_unaided_gap_s,46.79259259259259
heldout_36M_corrected,A_scripted,predictive,longest_unaided_gap_s,46.77777777777778
heldout_36M_corrected,A_scripted,deployment_fixed,mode_switches,0.0
heldout_36M_corrected,A_scripted,reactive,mode_switches,6.148148148148148
heldout_36M_corrected,A_scripted,predictive,mode_switches,5.955555555555556
heldout_36M_corrected,A_scripted,deployment_fixed,optical_fixes,17.44074074074074
heldout_36M_corrected,A_scripted,reactive,optical_fixes,17.44814814814815
heldout_36M_corrected,A_scripted,predictive,optical_fixes,17.496296296296297
heldout_36M_corrected,A_scripted,deployment_fixed,overall_rmse_m,0.5521076294369256
heldout_36M_corrected,A_scripted,reactive,overall_rmse_m,0.5588362933100983
heldout_36M_corrected,A_scripted,predictive,overall_rmse_m,0.5652052457803646
heldout_36M_corrected,A_scripted,deployment_fixed,peak_error_m,1.477239139513594
heldout_36M_corrected,A_scripted,reactive,peak_error_m,1.475330923103073
heldout_36M_corrected,A_scripted,predictive,peak_error_m,1.486387948464712
heldout_36M_corrected,A_scripted,deployment_fixed,physical_interventions,0.14814814814814814
heldout_36M_corrected,A_scripted,reactive,physical_interventions,1.762962962962963
heldout_36M_corrected,A_scripted,predictive,physical_interventions,3.6555555555555554
