family,group,policy,n,completed,safety_violation,overall_rmse_m,rmse_transition_m,peak_error_m,longest_unaided_gap_s,unaided_time_s,survey_coverage_fraction,mode_switches,physical_interventions,preemptive_actions
S3_ACOUSTIC_GEOMETRY_ASYNC,primary,deployment_fixed,30,1,0,0.28235242386750237,0.3071615574481743,0.8405922550617827,26.8,41.4,1.0,0,0,0
S3_ACOUSTIC_GEOMETRY_ASYNC,primary,predictive,30,1,0,0.26775681788257494,0.2868816076786876,0.6883115941683304,29.333333333333332,52.93333333333333,1.0,3.6666666666666665,2.033333333333333,0
S3_ACOUSTIC_GEOMETRY_ASYNC,primary,reactive,30,1,0,0.26775681788257494,0.2868816076786876,0.6883115941683304,29.333333333333332,52.93333333333333,1.0,3.6666666666666665,2.033333333333333,0
S3_COMPOUND_DVL_ACOUSTIC,primary,deployment_fixed,30,1,0,0.5243146529338186,0.5965926228111653,1.6909576294230786,27.866666666666667,44.333333333333336,1.0,0,0,0
S3_COMPOUND_DVL_ACOUSTIC,primary,predictive,30,1,0,0.521773821215295,0.5943126428768625,1.676484893555865,27.866666666666667,44.2,1.0,4.133333333333334,2.6333333333333333,0.9666666666666667
S3_COMPOUND_DVL_ACOUSTIC,primary,reactive,30,1,0,0.5214284548661235,0.593096060643541,1.6769409695904582,27.866666666666667,44.333333333333336,1.0,4.133333333333334,0.8666666666666667,0
S3_COMPOUND_OPTICAL_ACOUSTIC,primary,deployment_fixed,30,1,0,0.27695875675586756,0.30742580985371487,0.8090140630563298,27.866666666666667,39.46666666666667,1.0,0,0,0
S3_COMPOUND_OPTICAL_ACOUSTIC,primary,predictive,30,1,0,0.2583478296478023,0.28456850768338904,0.7332874178444252,26.4,37.733333333333334,1.0,3.8333333333333335,3.033333333333333,1
S3_COMPOUND_OPTICAL_ACOUSTIC,primary,reactive,30,1,0,0.2603793567928521,0.2869305749360976,0.7372155907887799,26.4,37.733333333333334,1.0,3.8333333333333335,2,0
S3_DVL_GRADUAL,primary,deployment_fixed,30,1,0,0.16457877339162102,0.16758356363422,0.18650198308827975,0.0,0.0,1.0,0,0,0
S3_DVL_GRADUAL,primary,predictive,30,1,0,0.16430766273629413,0.16756071509938283,0.18648615970232893,0.0,0.0,1.0,8.866666666666667,2,1
S3_DVL_GRADUAL,primary,reactive,30,1,0,0.16457877339162102,0.16758356363422,0.18650198308827975,0.0,0.0,1.0,8.933333333333334,0,0
S3_INFRASTRUCTURE_WARNING,primary,deployment_fixed,30,1,0,0.9789645827736863,1.1320385958250618,2.687538344979105,56.266666666666666,62.733333333333334,1.0,0,0,0
S3_INFRASTRUCTURE_WARNING,primary,predictive,30,1,0,0.9811001318438299,1.1346456042019175,2.632311816710069,56.266666666666666,62.666666666666664,1.0,3,2.8333333333333335,0.9333333333333333
S3_INFRASTRUCTURE_WARNING,primary,reactive,30,1,0,0.9818937564646653,1.1355889050992036,2.674983320086366,56.266666666666666,62.733333333333334,1.0,3,1.4666666666666666,0
S3_NOMINAL,control,deployment_fixed,20,1,0,0.15647164527664031,0.15647164527664031,0.18304409637300736,0.0,0.0,1.0,0,0,0
S3_NOMINAL,control,predictive,20,1,0,0.1558116128900462,0.1558116128900462,0.1831543567399852,0.0,0.0,1.0,2,8,4
S3_NOMINAL,control,reactive,20,1,0,0.15648762168638855,0.15648762168638855,0.18298952168615354,0.0,0.0,1.0,2,1,0
S3_NO_RECOVERY,control,deployment_fixed,20,0,0,1.0539883611994376,1.2910404868812984,3.0807320966158,83.2,83.2,0.996639231824417,0,1,0
S3_NO_RECOVERY,control,predictive,20,0,0.05,1.1760795438577627,1.4384325476699253,3.3252841322126763,83.6,83.6,0.9816970409563003,6.75,6.85,1
S3_NO_RECOVERY,control,reactive,20,0,0,1.1535964260485634,1.4128671298069908,3.229824786608407,83.2,83.2,0.9789927493631198,7.45,4.9,0
S3_OPTICAL_GRADUAL,primary,deployment_fixed,30,1,0,1.093961413804759,1.2713061471413498,2.618247309947231,119.2,119.2,1.0,0,0,0
S3_OPTICAL_GRADUAL,primary,predictive,30,1,0,1.156924419976765,1.344826804606816,2.6588394271204696,119.2,119.46666666666667,1.0,6.966666666666667,3.3333333333333335,1
S3_OPTICAL_GRADUAL,primary,reactive,30,1,0,1.0943277906470574,1.2717042353740717,2.594220973640521,119.2,119.2,1.0,7.433333333333334,2.1333333333333333,0
S3_RECOVERY,primary,deployment_fixed,30,1,0,0.6958883914485652,0.8880068016682524,1.8593530129180997,88.86666666666666,88.86666666666666,1.0,0,0,0
S3_RECOVERY,primary,predictive,30,1,0,0.6587724416066987,0.8676360269992549,1.795088320962741,88.13333333333334,88.13333333333334,1.0,10.2,3.8666666666666667,1
S3_RECOVERY,primary,reactive,30,1,0,0.68380352896769,0.8706075752979453,1.8194055877519846,89.0,89.0,1.0,10.633333333333333,1.6,0
S3_SUDDEN,control,deployment_fixed,20,0,0,0.21746449845868787,0.34149573491139595,0.6406452927338515,26.5,26.5,1.0,0,1,0
S3_SUDDEN,control,predictive,20,0,0,0.28490497392322284,0.5009997253143681,1.0015843702246037,27.1,27.1,0.9627865961199294,10.65,4.9,1
S3_SUDDEN,control,reactive,20,0,0,0.2729531934324988,0.4753557262337527,0.9377831249248458,26.4,26.4,0.9778659611992947,11.1,2.75,0
