part,policy,metric,mean
A_scripted,deployment_fixed,mode_switches,0.0
A_scripted,reactive,mode_switches,6.148148148148148
A_scripted,predictive,mode_switches,5.955555555555556
A_scripted,deployment_fixed,physical_interventions,0.14814814814814814
A_scripted,reactive,physical_interventions,1.762962962962963
A_scripted,predictive,physical_interventions,3.6555555555555554
A_scripted,deployment_fixed,preemptive_actions,0.0
A_scripted,reactive,preemptive_actions,0.0
A_scripted,predictive,preemptive_actions,1.1
A_scripted,deployment_fixed,survey_coverage_fraction,0.9997510542092161
A_scripted,reactive,survey_coverage_fraction,0.9968043489305493
A_scripted,predictive,survey_coverage_fraction,0.9958876768204614
B_generated,deployment_fixed,mode_switches,0.0
B_generated,reactive,mode_switches,8.315
B_generated,predictive,mode_switches,8.735
B_generated,deployment_fixed,physical_interventions,0.5825
B_generated,reactive,physical_interventions,6.445
B_generated,predictive,physical_interventions,7.5025
B_generated,deployment_fixed,preemptive_actions,0.0
B_generated,reactive,preemptive_actions,0.0
B_generated,predictive,preemptive_actions,0.5225
B_generated,deployment_fixed,survey_coverage_fraction,0.8478444052518127
B_generated,reactive,survey_coverage_fraction,0.8162752302567117
B_generated,predictive,survey_coverage_fraction,0.8414055457573976
