Part B: 144 configurations x 380 held-out scenarios = 54720 runs
static configurations only; no adaptive policy is flown
seed root 20800000, 20 seeds per family

  2000/54720 (3.7%), 41 min elapsed, ~1087 min remaining
  4000/54720 (7.3%), 80 min elapsed, ~1019 min remaining
  6000/54720 (11.0%), 119 min elapsed, ~964 min remaining
  8000/54720 (14.6%), 157 min elapsed, ~915 min remaining
  10000/54720 (18.3%), 198 min elapsed, ~888 min remaining
  12000/54720 (21.9%), 239 min elapsed, ~851 min remaining
  14000/54720 (25.6%), 269 min elapsed, ~783 min remaining
  16000/54720 (29.2%), 307 min elapsed, ~743 min remaining
  18000/54720 (32.9%), 344 min elapsed, ~701 min remaining
  20000/54720 (36.5%), 377 min elapsed, ~654 min remaining
  22000/54720 (40.2%), 420 min elapsed, ~624 min remaining
  24000/54720 (43.9%), 459 min elapsed, ~588 min remaining
  26000/54720 (47.5%), 496 min elapsed, ~548 min remaining
  28000/54720 (51.2%), 534 min elapsed, ~510 min remaining
  30000/54720 (54.8%), 575 min elapsed, ~474 min remaining
  32000/54720 (58.5%), 617 min elapsed, ~438 min remaining
  34000/54720 (62.1%), 655 min elapsed, ~399 min remaining
  36000/54720 (65.8%), 692 min elapsed, ~360 min remaining
  38000/54720 (69.4%), 730 min elapsed, ~321 min remaining
  40000/54720 (73.1%), 768 min elapsed, ~282 min remaining
  42000/54720 (76.8%), 810 min elapsed, ~245 min remaining
  44000/54720 (80.4%), 851 min elapsed, ~207 min remaining
  46000/54720 (84.1%), 889 min elapsed, ~168 min remaining
  48000/54720 (87.7%), 933 min elapsed, ~131 min remaining
  50000/54720 (91.4%), 978 min elapsed, ~92 min remaining
  52000/54720 (95.0%), 1025 min elapsed, ~54 min remaining
  54000/54720 (98.7%), 1076 min elapsed, ~14 min remaining

wrote 54720 rows to /home/chris/uuv_ws/projects/paper2/src/uuv_mode_aware_navigation/results/static_sweep_held_out_2.csv
elapsed 18.2 h
